filename,label,ground_truth,predicted_text,cer,wer,lev,acc,time
001_heo-cao-boi_F_crop_0.jpg,brand,HEO CAO BỒI,MEGOTED,0.8181818181818182,1.0,9,0,1.184
001_heo-cao-boi_F_crop_1.jpg,name,THỊT VIÊN 3 PHÚT,1,1.0,1.0,16,0,0.021
001_heo-cao-boi_F_crop_2.jpg,date,150824,BUGZA,1.0,1.0,6,0,0.049
001_heo-cao-boi_F_crop_3.jpg,date,150825,80825,0.3333333333333333,1.0,2,0,0.045
001_heo-cao-boi_F_crop_4.jpg,weight,200 g,200g,0.2,1.0,1,0,0.038
001_heo-cao-boi_F_crop_5.jpg,weight,100 g,100g,0.2,1.0,1,0,0.042
002_mi-ly-modern_F_crop_0.jpg,brand,ACECOOK,ASSECTION,0.7142857142857143,1.0,5,0,0.068
002_mi-ly-modern_F_crop_1.jpg,name,MÌ LY MODERN,ELEE,0.8333333333333334,1.0,10,0,0.042
003_banh-crepe-sua-tuoi_B_crop_0.jpg,brand,SweetHome Bakery,SUBSTRUCTION,0.875,1.0,14,0,0.108
003_banh-crepe-sua-tuoi_B_crop_1.jpg,name,BÁNH CREPE SỮA TƯƠI,CONTRANSITIONALIST,0.8947368421052632,1.0,17,0,0.126
003_banh-crepe-sua-tuoi_B_crop_2.jpg,weight,80g,80g,0.0,0.0,0,1,0.032
003_banh-crepe-sua-tuoi_B_crop_3.jpg,date,05/11/2024,DEASTERS,1.0,1.0,8,0,0.075
003_banh-crepe-sua-tuoi_B_crop_4.jpg,date,24h 11/11/2024,PROFESSIONAL,1.0,1.0,12,0,0.081
003_banh-crepe-sua-tuoi_F_crop_0.jpg,brand,SweetHome Bakery,ANTICULATED,0.8125,1.0,13,0,0.075
003_banh-crepe-sua-tuoi_F_crop_1.jpg,name,Bánh Crepe Sữa Tươi,ANTICHE,0.8421052631578947,1.0,16,0,0.053
003_che-buoi_F_crop_0.jpg,name,Chè Bưởi,Che Bưới,0.25,1.0,2,0,0.064
