filename,label,ground_truth,predicted_text,cer,wer,lev,acc,time
001_heo-cao-boi_F_crop_0.jpg,brand,HEO CAO BỒI,HEO CAO BỒI,0.0,0.0,0,1,2.653
001_heo-cao-boi_F_crop_1.jpg,name,THỊT VIÊN 3 PHÚT,THỊT VIÊN 3 PHÚT,0.0,0.0,0,1,1.486
001_heo-cao-boi_F_crop_2.jpg,date,150824,1508224,0.16666666666666666,1.0,1,0,1.349
001_heo-cao-boi_F_crop_3.jpg,date,150825,1508325,0.16666666666666666,1.0,1,0,1.304
001_heo-cao-boi_F_crop_4.jpg,weight,200 g,200g,0.2,1.0,1,0,1.186
001_heo-cao-boi_F_crop_5.jpg,weight,100 g,100g,0.2,1.0,1,0,1.176
002_mi-ly-modern_F_crop_0.jpg,brand,ACECOOK,Acecook,0.0,0.0,0,1,1.201
002_mi-ly-modern_F_crop_1.jpg,name,MÌ LY MODERN,MODERN,0.5,0.6666666666666666,6,0,1.399
003_banh-crepe-sua-tuoi_B_crop_0.jpg,brand,SweetHome Bakery,Sweet Home Bakery,0.0625,1.0,1,0,1.15
003_banh-crepe-sua-tuoi_B_crop_1.jpg,name,BÁNH CREPE SỮA TƯƠI,BÁNH CREPE SỮA TƯƠI,0.0,0.0,0,1,1.539
003_banh-crepe-sua-tuoi_B_crop_2.jpg,weight,80g,80g,0.0,0.0,0,1,1.156
003_banh-crepe-sua-tuoi_B_crop_3.jpg,date,05/11/2024,05/11/2024,0.0,0.0,0,1,1.493
003_banh-crepe-sua-tuoi_B_crop_4.jpg,date,24h 11/11/2024,24h 11/11/2024,0.0,0.0,0,1,2.154
003_banh-crepe-sua-tuoi_F_crop_0.jpg,brand,SweetHome Bakery,Sweet Home Bakery,0.0625,1.0,1,0,1.192
003_banh-crepe-sua-tuoi_F_crop_1.jpg,name,Bánh Crepe Sữa Tươi,Bánh Crepe Sữa Tươi,0.0,0.0,0,1,1.382
003_che-buoi_F_crop_0.jpg,name,Chè Bưởi,Chè Bưởi,0.0,0.0,0,1,1.478
003_che-buoi_F_crop_1.jpg,brand,TNT Foods,TNT Foods,0.0,0.0,0,1,1.296
003_che-buoi_F_crop_2.jpg,weight,140 g,140g,0.2,1.0,1,0,1.218
003_che-buoi_F_crop_3.jpg,date,06/11/2024,06/11/2024,0.0,0.0,0,1,1.513
003_che-buoi_F_crop_4.jpg,date,10/11/2024,10/11/2024,0.0,0.0,0,1,1.491
004_cal-cheese_F_crop_0.jpg,brand,MAYORA,MAYORA,0.0,0.0,0,1,1.198
004_cal-cheese_F_crop_1.jpg,weight,48g,48g,0.0,0.0,0,1,1.185
004_cal-cheese_F_crop_2.jpg,weight,48g,48g,0.0,0.0,0,1,1.196
004_cal-cheese_F_crop_3.jpg,name,Thực Phẩm Bổ Sung Bánh Xốp Kem Phô Mai Cal Cheese,Thực Phẩm Bổ Sung Bánh Xốp Kem Phô Mai Cal Cheese,0.0,0.0,0,1,1.79
004_cal-cheese_F_crop_4.jpg,date,19 08 2024,19 08 2024,0.0,0.0,0,1,1.688
004_cal-cheese_F_crop_5.jpg,date,10 06 2025,1806 2025,0.2,0.6666666666666666,2,0,1.386
005_nabati_F_crop_0.jpg,name,nabati WAFER,nabati WAFER,0.0,0.0,0,1,1.323
006_nabati_B_crop_0.jpg,date,07/10/2025,07/10/2025,0.0,0.0,0,1,1.44
006_nabati_B_crop_1.jpg,date,07/10/2024,07AIV2024,0.375,1.0,3,0,1.438
007_snack-nhan-dau-phong_F_crop_0.jpg,name,SNACK NHÂN ĐẬU PHỘNG,SNACK NHẬN ĐẬU PHỘNG,0.05,0.25,1,0,1.494
007_snack-nhan-dau-phong_F_crop_1.jpg,brand,Oishi,Oishi,0.0,0.0,0,1,1.188
008_sting-vang_F_crop_0.jpg,name,STING NƯỚC TĂNG LỰC,STING NƯỚC TĂNG LỰC,0.0,0.0,0,1,1.536
009_sting-vang_B_crop_0.jpg,name,NƯỚC TĂNG LỰC STING,NƯỚC TĂNG LỰC STING,0.0,0.0,0,1,1.845
009_sting-vang_B_crop_1.jpg,weight,320 ml,320 ML,0.0,0.0,0,1,1.216
010_sting_F_crop_0.jpg,name,STING NƯỚC TĂNG LỰC,STING,0.7368421052631579,0.75,14,0,1.227
011_sting_B_crop_0.jpg,name,NƯỚC TĂNG LỰC STING HƯƠNG DÂU TÂY ĐỎ,NƯỚC TANG LỤC STING HƯƠNG DÂU TÂY ĐỎ,0.05555555555555555,0.25,2,0,2.017
011_sting_B_crop_1.jpg,weight,320 ml,320 ml,0.0,0.0,0,1,1.241
012_banh-hoa-cuc_F_crop_0.jpg,brand,Fe'sta,Festa,0.0,0.0,0,1,1.155
012_banh-hoa-cuc_F_crop_1.jpg,name,Hoa cúc ngàn lớp,Hoa cúc ngàn lớp,0.0,0.0,0,1,1.363
013_snack-vi-suon-nuong_F_crop_0.jpg,brand,Lay's,Lay's,0.0,0.0,0,1,1.254
013_snack-vi-suon-nuong_F_crop_1.jpg,name,Vị Sườn Nướng BBQ Brazil,Vị Sườn Nướng BBQ Brazil,0.0,0.0,0,1,1.642
014_mentos-keo-ngam-khong-duong_F_crop_0.jpg,name,KẸO NGẬM KHÔNG ĐƯỜNG,KẸO NGẬM KHÔNG ĐƯỜNG,0.0,0.0,0,1,1.894
014_mentos-keo-ngam-khong-duong_F_crop_1.jpg,brand,mentos,mentos,0.0,0.0,0,1,1.225
015_mentos-keo-ngam-khong-duong_B_crop_0.jpg,name,KẸO NGẬM KHÔNG ĐƯỜNG,KẸO NGẬM KHÔNG ĐƯỜNG,0.0,0.0,0,1,1.626
015_mentos-keo-ngam-khong-duong_B_crop_1.jpg,brand,mentos,mentos,0.0,0.0,0,1,1.193
015_mentos-keo-ngam-khong-duong_B_crop_2.jpg,weight,35 g,35g,0.25,1.0,1,0,1.213
018_himalaya-salt_F_crop_0.jpg,name,HIMALAYA SALT,HIMALAYA SALT,0.0,0.0,0,1,1.344
018_himalaya-salt_F_crop_1.jpg,brand,HIMALAYA Sports,HIMALAYA sports,0.0,0.0,0,1,1.314
019_himalaya-salt_B_crop_0.jpg,name,HIMALAYA SALT,HIMALAYA SALT,0.0,0.0,0,1,1.365
019_himalaya-salt_B_crop_1.jpg,name,KẸO MUỐI HIMALAYA BẠC HÀ VỊ CHANH,KẸO MUỐI HIMALAYA BẠC HÀ VỊ CHANH,0.0,0.0,0,1,2.298
019_himalaya-salt_B_crop_2.jpg,weight,15g,15g,0.0,0.0,0,1,1.218
019_himalaya-salt_B_crop_3.jpg,date,10/09/2024,15/09/2024,0.125,1.0,1,0,1.502
019_himalaya-salt_B_crop_4.jpg,date,09/09/2026,09/09/2026,0.0,0.0,0,1,1.484
019_himalaya-salt_B_crop_5.jpg,weight,15g,15g,0.0,0.0,0,1,1.282
020_marshmallows_F_crop_0.jpg,name,Teddy MARSHMALLOWS,Teddy Marshmallows,0.0,0.0,0,1,1.296
021_marshmallows_F_crop_0.jpg,name,Teddy Marshallows,Teddy Marshmallows,0.058823529411764705,0.5,1,0,1.352
021_marshmallows_F_crop_1.jpg,weight,70g,70g,0.0,0.0,0,1,1.239
022_marshmallows_B_crop_0.jpg,date,02/07/2024,02/07/2024,0.0,0.0,0,1,1.759
022_marshmallows_B_crop_1.jpg,date,01/10/2025,01/10/2025,0.0,0.0,0,1,1.708
022_marshmallows_B_crop_2.jpg,name,Kẹo dẻo tổng hợp Marshmallows hình Teddy,Kẹo dẻo tổng hợp Marshmallows hình Teddy,0.0,0.0,0,1,1.731
023_lap-xuong_F_crop_0.jpg,name,LẠP XƯỞNG,LẠP XƯỞNG,0.0,0.0,0,1,1.387
023_lap-xuong_F_crop_1.jpg,brand,Greenfeed,GREENFEED,0.0,0.0,0,1,1.281
024_lap-xuong_B_crop_0.jpg,date,25/11/2024,25/11/2024,0.0,0.0,0,1,1.528
024_lap-xuong_B_crop_1.jpg,date,25/06/2025,25/05/2025,0.125,1.0,1,0,1.581
025_rong-bien_F_crop_0.jpg,brand,Green World,Green World,0.0,0.0,0,1,1.221
025_rong-bien_F_crop_1.jpg,name,Rong Biển,Rong Biên,0.1111111111111111,0.5,1,0,1.472
025_rong-bien_F_crop_2.jpg,weight,20 g,20g,0.25,1.0,1,0,1.388
026_vinamilk-sua-dinh-duong-socola_F_crop_0.jpg,brand,Vinamilk,Vinamilk,0.0,0.0,0,1,1.261
026_vinamilk-sua-dinh-duong-socola_F_crop_1.jpg,name,SỮA DINH DƯỠNG ,SỮA DINH DƯỠNG,0.0,0.0,0,1,1.666
026_vinamilk-sua-dinh-duong-socola_F_crop_2.jpg,weight,220 ml,220ml,0.16666666666666666,1.0,1,0,1.269
027_vinamilk-sua-dinh-duong-socola_B_crop_0.jpg,date,250425,DU,1.0,1.0,6,0,1.188
027_vinamilk-sua-dinh-duong-socola_B_crop_1.jpg,date,06 tháng trước HSD.,06 tháng trước HSD,0.05263157894736842,0.25,1,0,1.374
028_dau-an-happi-koki_F_crop_0.jpg,brand,happi Koki,Happi Koki,0.0,0.0,0,1,1.288
028_dau-an-happi-koki_F_crop_1.jpg,name,DẦU ĂN CAO CẤP,DẦU ĂN CAO CẤP,0.0,0.0,0,1,1.586
028_dau-an-happi-koki_F_crop_2.jpg,weight,1 lít,1 lít,0.0,0.0,0,1,1.34
029_dau-an-light_F_crop_0.jpg,brand,Neptune Light,Neptune Light,0.0,0.0,0,1,1.319
030_dau-an-light_B_crop_0.jpg,name,DẦU ĂN THƯỢNG HẠNG,DẦU ĂN THƯỢNG HẠNG,0.0,0.0,0,1,1.684
030_dau-an-light_B_crop_1.jpg,weight,1 lít,1 lít,0.0,0.0,0,1,1.249
031_dau-an-cai-lan_F_crop_0.jpg,brand,Cái Lân,Cái Lan,0.14285714285714285,0.5,1,0,1.292
031_dau-an-cai-lan_F_crop_1.jpg,name,DẦU THỰC VẬT HẢO HẠNG,DẦU THỰC VẬT HẢO HẠNG,0.0,0.0,0,1,1.719
032_dau-an-cai-lan_B_crop_0.jpg,brand,Cái Lân,Cái Lân,0.0,0.0,0,1,1.308
032_dau-an-cai-lan_B_crop_1.jpg,weight,1 lít,1 Lit,0.2,0.5,1,0,1.232
032_dau-an-cai-lan_B_crop_2.jpg,date,24 tháng trước hạn sử dụng (HSD).,24 tháng trước hạn sử dụng (HSD).,0.0,0.0,0,1,1.767
033_dau-an-bep-hong_F_crop_0.jpg,brand,Bếp Hồng,Bếp Nướng,0.375,0.5,3,0,1.489
